X,Y,veg2010,TRI,snowcov,HFI2012
443994.1485,6054465,202.43595,4.3415,0.01563,91.61645
447994.1485,6054465,211.82935,5.21695,0,120.07558
451994.1485,6054465,203.71778,4.85068,0.07813,122.22418
455994.1485,6054465,204.75753,3.79824,0,115.41269
459994.1485,6054465,184.26798,4.05697,0,103.32851
383994.1485,6050465,214.85955,5.53853,0,126.94537
387994.1485,6050465,210.49599,6.04922,0.01563,126.71176
391994.1485,6050465,198.57873,2.93633,0,104.85255
395994.1485,6050465,173.94876,3.01429,0,89.13358
399994.1485,6050465,179.6125,3.29436,0,87.98649
403994.1485,6050465,164.52911,9.13339,0.0625,103.30299
407994.1485,6050465,190.1382,6.27551,0.01563,120.0922
411994.1485,6050465,208.65295,1.74469,0,125.06968
415994.1485,6050465,177.1413,1.43013,0,93.10807
419994.1485,6050465,178.34643,1.98715,0,100.71704
423994.1485,6050465,138.41487,2.63205,0,61.21258
427994.1485,6050465,173.49123,4.99045,0,117.80985
431994.1485,6050465,213.8809,4.05706,0.04688,118.08509
435994.1485,6050465,213.39946,4.1987,0.03125,120.82585
439994.1485,6050465,179.89876,2.51831,0.17188,100.07818
443994.1485,6050465,196.94208,3.29212,0.5625,47.14336
447994.1485,6050465,212.49231,4.55429,0.17188,37.08696
451994.1485,6050465,208.91227,4.80665,0.17188,67.31114
455994.1485,6050465,192.41071,3.87984,0,106.35796
459994.1485,6050465,198.83408,3.09486,0,117.70809
383994.1485,6046465,192.16132,5.68887,0,110.53519
387994.1485,6046465,179.78835,3.68786,0.03125,62.5632
391994.1485,6046465,181.79107,3.61772,0,84.61576
395994.1485,6046465,181.94286,2.19077,0.0625,107.01813
399994.1485,6046465,154.49076,4.78411,0,88.50152
403994.1485,6046465,176.63905,6.86332,0,115.97605
407994.1485,6046465,169.76262,9.66644,0.09375,98.34418
411994.1485,6046465,168.13082,7.99175,0.01786,108.91832
415994.1485,6046465,170.34099,3.38983,0,102.08574
419994.1485,6046465,139.08214,2.93482,0.09375,93.35031
423994.1485,6046465,123.76413,3.63943,0.1875,98.58832
427994.1485,6046465,171.79573,3.73608,0,122.9684
431994.1485,6046465,182.89418,3.0238,0.14063,69.76426
435994.1485,6046465,198.73059,3.77179,0.59375,106.86531
439994.1485,6046465,184.5639,3.57055,0.5625,86.68047
443994.1485,6046465,141.79868,4.75872,0.67188,49.47259
447994.1485,6046465,133.26568,6.56057,0.45313,52.90242
451994.1485,6046465,191.89216,5.55604,0.125,90.81258
455994.1485,6046465,185.60648,5.55604,0,79.56234
459994.1485,6046465,163.56118,2.85241,0.04688,63.1731
379994.1485,6042465,161.62564,5.33255,0,76.24743
383994.1485,6042465,166.10716,4.66764,0,102.39798
387994.1485,6042465,166.70481,3.30894,0,80.60982
391994.1485,6042465,155.12073,2.72179,0.11111,71.29486
395994.1485,6042465,131.44666,1.86825,1.58333,104.01661
399994.1485,6042465,160.16366,3.11716,0.20833,84.83575
403994.1485,6042465,158.53967,2.84262,0.01389,80.08416
407994.1485,6042465,181.57057,6.82325,0.05556,117.61464
411994.1485,6042465,179.3993,2.58224,0.09524,76.92776
