#detector	X	Y
W01	304994.1235	5968422.07
W02	309601.2337	5966266.735
W03	314959.0778	5968177.849
W04	311486.0607	5969886.441
W05	310136.8227	5975412.053
W06	314834.2845	5971805.304
W07	319886.149	5968969.749
W08	330580.6214	5974592.157
W09	329727.6356	5970510.26
W10	336191.7286	5974254.43
W11	317633.6329	5961620.981
W12	320209.226	5959172.189
W13	324638.9146	5963648.579
W14	329719.2464	5964591.147
W15	334346.2849	5963824.551
W16	308541.8588	5939983.236
W17	314155.2511	5939378.599
W18	318859.0305	5938082.714
W19	320087.1252	5931992.314
W20	323096.2687	5936845.9
W21	320093.277	5941281.021
W22	327178.7422	5933233.178
W23	327717.904	5938868.723
W24	325779.8923	5945714.723
W25	330278.1731	5944368.587
W26	335524.0508	5938006.266
W27	334243.113	5943836.309
W28	334569.4831	5948986.406
W29	335439.3282	5953344.581
W30	340220.7824	5951219.382
W31	366578.4054	5965010.974
W32	353609.3459	5964328.686
W33	345377.7034	5960581.506
W34	353869.2976	5953179.098
W35	360654.9424	5959787.953
W36	366746.2927	5954586.014
W37	371407.6604	5952884.335
W38	379117.8554	5955215.362
W39	386765.0878	5953540.248
W40	378145.397	5946964.383
W41	385150.6543	5942176.161
W42	382687.8982	5948241.987
W43	395703.1461	5956686.726
W44	395498.5395	5948384.691
W45	393929.1728	5945112.45
W46	403045.5072	5943465.119
W47	410668.4348	5939782.736
W48	420798.51	5936951.214
W49	412981.3435	5933830.317
W50	409194.1361	5929862.05
W51	403866.9719	5928641.248
W52	396678.3747	5926639.393
W53	396667.4772	5934814.147
W54	389718.1678	5926399.594
W55	360628.5297	5949438.58
W56	368407.6047	5944286.248
W57	371058.9732	5936066.17
W58	375913.8389	5931906.419
W59	363817.4984	5940056.645
W60	350425.4743	5942144.189
W61	343850.2996	5946605.715
W62	342508.7223	5938280.656
W63	343562.2532	5930367.742
W64	350117.1797	5933231.931
W65	356259.6299	5936371.602
W66	359632.3793	5927150.338
F100	381341	5977322
F101	383736	5977382
F104	392669	5983570
F105	394033	5986755
F106C	395933	5989590
F107	397868	5992582
F108	399446	5995925
F109	400794	5999007
F110	403003	6002556
F111	405460	6006162
F112	407151	6009504
F113	408089	6013002
F114C	409110	6016714
F115	411506	6020146
F116	412359	6022441
F117A	413779	6024822
F118C	415911	6027935
F119A	416346	6030389
F120A	417994	6032161
F121	421167	6036915
F122	423123	6040291
F123	422499	6042465
F124	357150	5972636
F125C	356317	5970175
F134	400915	5965649
F135	401159	5967640
F136	402610	5969083
F137	404602	5970870
F138	406378	5972808
F139A	409211	5975089
F140	387065	5974517
F141	388518	5976183
F147C	467237	5896145
F148	469723	5897797
F149	472622	5898690
F150	475085	5900006
F151	477044	5900935
F152	478998	5902482
F153	477749	5895632
F154	480021	5891458
F155A	476945	5888811
F156C	387912	5999499
F157	386266	5996608
F158	385613	5994146
F159	384331	5992443
F160	383912	5990428
F161	383941	5987859
F162C	384595	5985691
F163	385928	5983101
F164	386419	5980914
F165	385872	5978986
F166C	365847	5986694
F167C	370733	5979106
F96	373736	5983668
F97	375625	5982659
F98	377417	5980500
F99	379765	5979007
